assembly_no,district,cand_no,party,name_kr,name_cn,sex,birthyear,birthmonth,birthday,address,job,education,experience,recommend_priority,votenum,voterate,elected
17,비례대표,,한나라당,배일도,裵一道,남,1950,09,14,,회사원,전북대 공대 2년 중퇴,서울지하철노조위원장,18,,,True
17,비례대표,,한나라당,안명옥,安明玉,여,1954,08,31,,포천중문의대 교수,UCLA 졸업(보건학 박사),대한의사협회 대외협력이사,19,,,True
17,비례대표,,한나라당,서상기,徐相箕,남,1946,01,29,,호서대 환경안전공학부 교수,Drexer대학원 졸업 (공학박사),한국기계 연구원장,20,,,True
17,비례대표,,한나라당,박순자,朴順子,여,1958,10,12,,당부대변인,고려대학교 경제학과 졸업,당안산단원지구당 위원장,21,,,True
17,비례대표,,새천년민주당,손봉숙,孫鳳淑,여,1944,03,17,,한국여성정치연구소 이사장,이화여대 대학원졸업,한국정치연구소 이사장||민주당선거대책위원회 공동위원장,1,,,True
17,비례대표,,새천년민주당,김종인,金鐘仁,남,1940,07,11,,대한발전전략연구원 이사장,독일 뮌스터대학졸업(경제학박사),11|12|14대 국회의원||대통령경제수석비서관,2,,,True
17,비례대표,,새천년민주당,이승희,李承姬,여,1956,03,03,,민주당대변인,이화여자대학원졸업(정치학박사),청소년보호위원회 위원장,3,,,True
17,비례대표,,새천년민주당,김홍일,金弘一,남,1948,01,21,,국회의원,경희대대학원 졸업,새천년민주당 중앙위원||제15|16대 국회의원,4,,,True
17,비례대표,,열린우리당,장향숙,張香淑,여,1961,02,03,,인권운동가,무,한국장애인연합공동대표,1,,,True
17,비례대표,,열린우리당,홍창선,洪昌善,남,1944,03,01,,한국과학기술원총장,펜실베니아 주립대 졸업(박사),정부출연기관장협의회장,2,,,True
17,비례대표,,열린우리당,김명자,金明子,여,1944,07,13,,정당인,버지니아대학 박사 졸업,환경부 장관,3,,,True
17,비례대표,,열린우리당,김혁규,金爀珪,남,1939,08,01,,정당인,부산대학교 행정학과 졸업,경상남도지사,4,,,True
17,비례대표,,열린우리당,이경숙,李景叔,여,1953,08,15,,정당인,이화여대 대학원 사학과(석사) 졸업,한국여성단체연합상임대표,5,,,True
17,비례대표,,열린우리당,박찬석,朴贊石,남,1940,09,05,,경북대 교수,하와이대 박사졸업,경북대 총장,6,,,True
17,비례대표,,열린우리당,홍미영,洪美英,여,1955,09,10,,정당인,이화여대 사회학과 졸업,인천시의원,7,,,True
17,비례대표,,열린우리당,조성태,趙成台,남,1942,11,03,,동국대 교수,동국대 대학원 안보행정학과 졸업,국방부장관,8,,,True
17,비례대표,,열린우리당,박영선,朴映宣,여,1960,01,22,,정당인,서강대 언론대학원 문학석사 졸업,MBC 앵커,9,,,True
17,비례대표,,열린우리당,정의용,鄭義溶,남,1946,04,14,,정당인,서울대 외교학과 졸업,ILO 의장,10,,,True
17,비례대표,,열린우리당,김현미,金賢美,여,1962,11,29,,정당인,연세대 정치외교학과 졸업,청와대 정무2비서관,11,,,True
17,비례대표,,열린우리당,박명광,朴明光,남,1945,02,01,,경희대 교수,사토토마스대 박사 졸업,前 경희대 부총장,12,,,True
17,비례대표,,열린우리당,김영주,金榮珠,여,1955,07,27,,정당인,서강대 경제대학원 석사 졸업,前 전국금융노련상임부위원장,13,,,True
17,비례대표,,열린우리당,조성래,趙誠來,남,1941,10,24,,변호사,서울대 사법대학원 수료,부산변호사 협회회장,14,,,True
17,비례대표,,열린우리당,강혜숙,姜惠叔,여,1947,09,30,,청주대 교수,이화여대 대학원 석사졸업,청주대 무용학과 정교수,15,,,True
17,비례대표,,열린우리당,정덕구,鄭德龜,남,1948,11,01,,정당인,위수콘신대 석사 졸업,산업자원부 장관,16,,,True
17,비례대표,,열린우리당,이은영,李銀榮,여,1952,03,01,,외국어대 교수,독일 튀빙겐대 법학박사 졸업,한국외국어대 법대교수,17,,,True
17,비례대표,,열린우리당,민병두,閔丙두,남,1958,06,10,,정당인,성균관대 무역학과 졸업,前 문화일보 정치부장,18,,,True
17,비례대표,,열린우리당,윤원호,尹元昊,여,1943,07,04,,정당인,진주교육대학교 졸업,부산여성단체협의회회장,19,,,True
17,비례대표,,열린우리당,박홍수,朴弘綬,남,1955,04,18,,농업인,경상대 임학과 졸업,한농연 중앙회장,20,,,True
17,비례대표,,열린우리당,유승희,兪承希,여,1960,04,26,,정당인,이화여대 대학원 기독교학과 졸업,우리당총괄 조직실장,21,,,True
17,비례대표,,열린우리당,장복심,張福心,여,1946,06,16,,약사,강원대 약학박사 졸업,대한여약사회 회장,23,,,True
17,비례대표,,열린우리당,김재홍,金在洪,남,1950,01,03,,경기대 교수,서울대 정치학 박사 졸업,동아일보 정치부 논설위원,24,,,True
17,비례대표,,민주노동당,심상정,沈相정,여,1959,02,20,,노동자,서울대학교 사범대학 역사교육과 졸업,전국금속노동조합 사무처장||민주노동당 당대회 부의장,1,,,True
17,비례대표,,민주노동당,단병호,段炳浩,남,1949,07,13,,노동자,포항동지상업고등학교 3년 중퇴,전노협 위원장||민주노총위원장,2,,,True
17,비례대표,,민주노동당,이영순,李永順,여,1962,03,05,,정당인,고려대학교 졸업,울산 전동구청장||현 민주노동당 울산시지부여성위원장,3,,,True
17,비례대표,,민주노동당,천영세,千永世,남,1943,08,20,,정당인,고려대학교 사회학과 졸업,민주노동당 사무총장||민주노동당 부대표,4,,,True
17,비례대표,,민주노동당,최순영,崔順永,여,1953,09,15,,정당인,미기재,민주노동당 부대표||부천시시의회 1| 2대의원,5,,,True
17,비례대표,,민주노동당,강기갑,姜基甲,남,1953,06,07,,농업,사천농업고등학교 졸업,전국농민회총연맹부의장||사천읍 농업협동조합 감사,6,,,True
17,비례대표,,민주노동당,현애자,玄愛子,여,1962,10,28,,농업,경희대학교 4년 중퇴,전국여성농민회총연합 제주도연합회장||전국여성농민회총연합 남제주군농민회장,7,,,True
17,비례대표,,민주노동당,노회찬,魯會燦,남,1956,08,31,,정당인,고려대학교 정치외교학과 졸업,민주노동당 사무총장||매일노동뉴스 발행인,8,,,True
